raw_event_type,canonical_event_type,event_sequence,is_adjudication_event,is_payment_event,is_rework_event
claim_submitted,claim_submitted,10,false,false,false
SUBMIT,claim_submitted,10,false,false,false
Claim Submitted,claim_submitted,10,false,false,false
claim_received,claim_received,20,false,false,false
RECEIVED,claim_received,20,false,false,false
intake_complete,claim_received,20,false,false,false
claim_pended,claim_pended,30,false,false,true
PEND,claim_pended,30,false,false,true
pended_for_review,claim_pended,30,false,false,true
additional_info_requested,additional_info_requested,40,false,false,true
DEV,additional_info_requested,40,false,false,true
info_request,additional_info_requested,40,false,false,true
claim_denied,claim_denied,50,true,false,false
DENY,claim_denied,50,true,false,false
adjudication_denied,claim_denied,50,true,false,false
claim_approved,claim_approved,60,true,false,false
APPROVE,claim_approved,60,true,false,false
adjudication_approved,claim_approved,60,true,false,false
claim_resubmitted,claim_resubmitted,70,false,false,true
RESUB,claim_resubmitted,70,false,false,true
provider_resubmit,claim_resubmitted,70,false,false,true
payment_issued,payment_issued,80,false,true,false
PAY,payment_issued,80,false,true,false
check_issued,payment_issued,80,false,true,false
payment_adjusted,payment_adjusted,90,false,true,false
ADJ,payment_adjusted,90,false,true,false
payment_corr,payment_adjusted,90,false,true,false
claim_voided,claim_voided,100,true,false,false
VOID,claim_voided,100,true,false,false
cancelled,claim_voided,100,true,false,false
